koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,target
4499.0,89.0,-89.0,4.635,0.032,-0.02,-0.26,0.15,-0.15,0.639,0.025,-0.032,0.643,0.035,-0.032,291.50616,46.895741,13.177,13.823,13.125,12.899,12.512400000000001,11.206,10.672,10.55,0.134,19.4337301,9.3e-06,46.89559,8.1e-05,-0.54,0.34,-0.55,0.29,5.9e-05,5.2e-05,3.4e-05,4.5e-05,-0.21,0.19,-0.01,0.21,0.21,0.19,-0.41,0.18,-0.43,0.22,0.59,0.19,1
5365.0,191.0,-175.0,3.669,0.816,-0.204,-0.04,0.3,-0.3,2.872,0.844,-1.969,1.403,0.214,-0.5,300.72702,45.305538,13.759,14.479,13.712,13.451,13.282,12.255,11.853,11.722,0.0,20.045466,2.4e-05,45.30738,0.00019,-114.0,0.9,6.62,0.69,0.024668,0.00022300000000000003,-0.000356,3.9e-05,-13.952,0.093,4.156,0.076,14.558,0.099,-13.9,0.072,4.37,0.081,14.57,0.077,0
6014.0,190.0,-211.0,4.436,0.072,-0.217,-0.04,0.25,-0.3,1.021,0.333,-0.133,1.037,0.145,-0.13,295.62659,49.130428,14.651,15.141,14.609,14.44,14.409,13.484,13.155,13.145,0.241,19.708457,2.2e-05,49.13059,0.00023,0.59,0.79,0.58,0.84,-0.00014,0.00018,-0.00014,0.00019,0.26,0.94,-0.42,0.62,0.5,0.98,0.14,0.93,-0.4,0.62,0.42,0.86,1
4498.0,90.0,-90.0,4.661,0.012,-0.042,-0.08,0.15,-0.15,0.635,0.045,-0.019,0.698,0.028,-0.042,291.46866,40.343849,13.256,14.255,13.189,12.828,12.631,11.514,10.932,10.794,0.014,19.4312547,6.2e-06,40.343877,6.8e-05,0.44,0.26,0.1,0.24,6e-06,4.4e-05,-6.8e-05,4.1e-05,0.08,0.75,0.11,0.27,0.13,0.6,0.58,0.71,-0.25,0.27,0.63,0.59,1
5839.0,105.0,-105.0,4.327,0.156,-0.104,-0.28,0.15,-0.15,1.067,0.156,-0.172,0.881,0.07,-0.051,290.51047,41.24482,15.381,15.803,15.348,15.201,15.149,14.252,13.935,13.897,0.663,19.367372,4.2e-05,41.24491,0.0004,0.3,1.7,0.3,1.4,-0.00015,0.00071,-0.00027,0.00059,0.48,0.55,0.3,0.63,0.57,0.58,0.4,0.61,0.12,0.73,0.41,0.57,1
4237.0,113.0,-126.0,4.63,0.053,-0.021,-0.1,0.3,-0.3,0.631,0.04,-0.06,0.62,0.061,-0.055,290.34503,47.963589,14.875,16.104,14.857,14.348,14.052,12.895,12.245,12.15,0.0,19.356262,1.8e-05,47.96384,0.00019,-2.66,0.67,0.89,0.68,0.000243,4.1e-05,1.5e-05,4.2e-05,-6.59,0.59,-1.54,0.66,6.76,0.62,-5.15,0.5,0.27,0.6,5.15,0.51,0
5534.0,163.0,-163.0,4.629,0.035,-0.112,-0.58,0.3,-0.3,0.707,0.118,-0.055,0.786,0.073,-0.073,292.07849,38.631481,15.537,16.118,15.505,15.288,15.176,14.229,13.85,13.807,0.0,19.47189493,4.6e-07,38.6314832,5.2e-06,-0.214,0.02,0.011,0.019,-0.0032,0.0023,-0.0032,0.003,0.193,0.091,0.12,0.08,0.23,0.1,-0.043,0.069,-0.013,0.069,0.045,0.069,0
6429.0,181.0,-227.0,4.241,0.18,-0.18,-0.46,0.3,-0.3,1.262,0.335,-0.274,1.011,0.16,-0.117,284.978,41.420158,13.838,14.171,13.806,13.696,13.566,12.807,12.491,12.484,0.048,18.99852,1.5e-05,41.42034,0.00017,-0.58,0.6,0.64,0.6,0.00011,0.00015,-0.00019,0.00015,0.09,0.36,0.79,0.36,0.79,0.36,0.25,0.32,0.12,0.33,0.27,0.37,1
5178.0,155.0,-139.0,4.585,0.024,-0.102,0.16,0.25,-0.3,0.797,0.107,-0.063,0.896,0.051,-0.095,291.27899,47.687649,15.645,16.377,15.579,15.33,15.193,14.162,13.753,13.572,0.17,19.418629,2e-05,47.68769,0.00019,1.05,0.73,0.14,0.68,-0.00023,0.00016,-4e-05,0.00015,-0.14,0.32,0.01,0.31,0.14,0.32,-0.21,0.32,-0.08,0.31,0.23,0.32,1
7542.0,75.0,-83.0,4.036,0.137,-0.112,-0.22,0.15,-0.15,1.999,0.361,-0.325,1.582,0.158,-0.118,297.42007,39.77375,12.725,12.855,12.681,12.701,12.711,12.0,11.829,11.81,0.182,19.828070955,2.6e-08,39.7773554,1.2e-06,2.7788,0.0011,12.9794,0.0044,-3.8000000000000043e-06,0.0005582,-1.1,1.1,0.88,0.11,3.63,0.2,3.73,0.2,0.858,0.067,5.081,0.068,5.153,0.068,0
6486.0,156.0,-176.0,3.872,0.28,-0.1,-0.2,0.3,-0.25,2.308,0.438,-0.813,1.446,0.183,-0.313,295.60934,45.484451,12.845,13.15,12.787,12.714,12.675,11.827,11.628,11.569,0.0,19.707332,1.3e-05,45.48527,0.00016,1.64,0.5,2.95,0.57,-8e-05,1.8e-05,-7.8e-05,2e-05,1.15,0.2,1.39,0.51,1.8,0.4,1.18,0.2,1.33,0.57,1.78,0.42,0
7079.0,74.0,-84.0,3.827,0.196,-0.098,-0.16,0.15,-0.15,2.634,0.436,-0.653,1.695,0.139,-0.208,293.16495,38.06913,13.37,13.613,13.303,13.266,13.239,12.432,12.238,12.212,0.0,19.544333455,4.9e-08,38.06903866,5.5e-07,0.1469,0.0021,-0.3288,0.002,0.005,0.0015,-0.0006,0.0019,-0.025,0.067,0.014,0.067,0.029,0.067,0.059,0.067,0.054,0.069,0.079,0.068,0
4746.0,170.0,-170.0,4.605,0.04,-0.04,-0.12,0.3,-0.3,0.696,0.063,-0.057,0.713,0.071,-0.065,289.76312,39.245178,15.863,16.772,15.791,15.473,15.264,14.181,13.548,13.485,0.0,19.3174806,9.1e-06,39.24504,0.00011,-2.51,0.38,-0.49,0.4,0.00177,0.00018,0.00084,0.00019,-5.17,0.45,-4.06,0.62,6.57,0.57,-3.02,0.53,-1.03,0.72,3.19,0.55,0
