kepoi_name,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition
K00753.01,5853.0,158.0,-176.0,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.278,19.8003207,1.9e-06,48.13412,2e-05,-0.021,0.069,-0.038,0.071,0.0007,0.0024,0.0006,0.0034,-0.025,0.07,-0.034,0.07,0.042,0.072,0.002,0.071,-0.027,0.074,0.027,0.074,CANDIDATE
K00777.01,5446.0,179.0,-163.0,4.507,0.116,-0.105,-0.54,0.35,-0.3,0.781,0.116,-0.095,0.714,0.104,-0.037,294.31686,50.080231,15.487,16.1,15.463,15.224,15.091,14.029,13.631,13.491,0.027,19.6211267,4e-06,50.080316,3.8e-05,0.09,0.14,0.31,0.14,0.0006,0.002,-0.0011,0.003,-0.025,0.072,0.051,0.076,0.057,0.077,-0.049,0.071,-0.021,0.075,0.053,0.072,CANDIDATE
K00780.02,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.14,0.15,-0.15,0.765,0.055,-0.028,0.85,0.025,-0.054,293.83331,50.23035,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.058,19.588885,3.3e-05,50.22996,0.00034,-0.1,1.2,-1.4,1.2,0.00016,0.0006,0.00075,0.00064,-0.51,0.46,-0.49,0.64,0.71,0.54,0.08,0.45,-0.38,0.56,0.39,0.56,CANDIDATE
K00115.03,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.858,19.192473,3.3e-05,46.27616,0.00034,-0.6,1.2,-0.3,1.2,1.2e-05,3.1e-05,-3e-06,3e-05,0.01,0.64,-0.05,0.95,0.05,0.93,-0.11,0.66,-0.3,1.0,0.3,1.0,CANDIDATE
K00797.01,5988.0,179.0,-197.0,4.541,0.048,-0.192,-0.52,0.3,-0.3,0.836,0.234,-0.078,0.885,0.099,-0.099,291.28195,38.241669,15.657,16.162,15.621,15.441,15.32,14.408,14.036,13.939,0.021,19.4187924,1.9e-06,38.241643,2.3e-05,-0.151,0.081,-0.099,0.084,0.0008,0.0014,-0.0003,0.0017,0.004,0.069,0.008,0.069,0.009,0.069,-0.062,0.07,0.06,0.072,0.087,0.072,CANDIDATE
K00802.01,5710.0,76.0,-85.0,4.492,0.048,-0.112,-0.1,0.15,-0.15,0.905,0.121,-0.061,0.928,0.052,-0.058,293.81619,38.563568,15.562,16.07,15.519,15.344,15.269,14.364,13.996,13.894,0.0,19.58774067,8.4e-07,38.5634145,9.6e-06,-0.225,0.035,-0.56,0.035,-0.0108,0.0049,-0.0133,0.0062,0.656,0.094,0.634,0.073,0.913,0.089,0.056,0.072,0.057,0.071,0.08,0.074,CANDIDATE
K00815.01,5509.0,166.0,-166.0,4.482,0.081,-0.15,-0.16,0.3,-0.3,0.871,0.196,-0.105,0.84,0.111,-0.074,285.92001,39.624828,15.684,16.307,15.646,15.417,15.322,14.363,13.96,13.875,0.13,19.061339,4.3e-06,39.624775,5e-05,0.24,0.18,-0.2,0.18,-0.0012,0.0016,-0.0001,0.0019,0.074,0.095,0.004,0.086,0.074,0.095,-0.003,0.089,-0.271,0.085,0.271,0.085,CANDIDATE
K00820.01,6463.0,205.0,-205.0,4.5,0.087,-0.163,-1.66,0.3,-0.2,0.826,0.159,-0.086,0.786,0.062,-0.045,295.11371,40.071171,15.27,15.662,15.249,15.102,15.046,14.224,13.954,13.785,0.029,19.674246,2.8e-06,40.071187,2.9e-05,-0.05,0.11,0.06,0.1,-9e-05,0.00056,0.00051,0.00063,0.007,0.073,-0.098,0.072,0.098,0.072,-0.073,0.077,-0.103,0.072,0.126,0.073,CANDIDATE
K00823.01,6228.0,183.0,-219.0,4.428,0.077,-0.272,-0.44,0.28,-0.3,0.99,0.377,-0.117,0.959,0.121,-0.111,296.00699,40.295429,15.202,15.662,15.167,15.005,14.892,14.019,13.702,13.598,0.27999999999999997,19.7420258,4.14e-05,39.70221,0.000452,0.9400000000000001,1.7400000000000002,0.2,1.6400000000000001,-0.00045200000000000004,0.000748,-0.00021999999999999998,0.000692,-0.426,1.108,-0.003999999999999959,1.1320000000000001,1.9299999999999997,1.024,-0.466,1.206,-0.10799999999999996,1.074,2.0060000000000002,1.014,CANDIDATE
K00868.01,4245.0,85.0,-85.0,4.627,0.03,-0.018,0.12,0.15,-0.15,0.657,0.022,-0.032,0.666,0.031,-0.031,293.00797,42.307201,15.172,16.343,15.122,14.67,14.421,13.251,12.678,12.515,0.0,19.5338684,1.1e-06,42.307216,1.2e-05,0.148,0.046,0.059,0.042,-0.0041,0.0057,0.0,0.0076,0.051,0.067,-0.022,0.067,0.056,0.067,0.115,0.077,-0.045,0.076,0.123,0.077,CANDIDATE
